Python 2.6.5 (r265:79096, Mar 19 2010, 21:48:26) [MSC v.1500 32 bit (Intel)] on win32
Type "copyright", "credits" or "license()" for more information.

    ****************************************************************
    Personal firewall software may warn about the connection IDLE
    makes to its subprocess using this computer's internal loopback
    interface.  This connection is not visible on any external
    interface and no data is sent to or received from the Internet.
    ****************************************************************
    
IDLE 2.6.5      
>>> ================================ RESTART ================================
>>> 

Warning (from warnings module):
  File "C:\Python26\ArcGIS10.0\lib\site-packages\MySQLdb\__init__.py", line 34
    from sets import ImmutableSet
DeprecationWarning: the sets module is deprecated
baidu:(116.301497605,39.8754293639)---->origin:(116.289012987,39.8679340427)
baidu:(116.29396981,39.8443280557)---->origin:(116.281545724,39.8367751589)
baidu:(116.291960257,39.8780116606)---->origin:(116.279518185,39.8704398866)
baidu:(116.323634559,39.8879948764)---->origin:(116.310983088,39.8808388822)
baidu:(116.260823763,39.8478443316)---->origin:(116.248327114,39.840553197)
baidu:(116.359564406,39.8512311801)---->origin:(116.346798527,39.8441566283)
baidu:(116.297293805,39.8293114606)---->origin:(116.284870568,39.8217879001)
baidu:(116.246304491,39.8421344114)---->origin:(116.233715887,39.8350966799)
baidu:(116.290080353,39.8737488248)---->origin:(116.277643631,39.8661712083)
baidu:(116.290080353,39.8737488248)---->origin:(116.277643631,39.8661712083)
baidu:(116.3703798,39.8736334894)---->origin:(116.357630431,39.866374132)
baidu:(116.166052704,39.8151759613)---->origin:(116.153475408,39.8074981018)
baidu:(116.290080353,39.8737488248)---->origin:(116.277643631,39.8661712083)
baidu:(116.290080353,39.8737488248)---->origin:(116.277643631,39.8661712083)
baidu:(116.246304491,39.8421344114)---->origin:(116.233715887,39.8350966799)
baidu:(116.429807849,39.8588784057)---->origin:(116.417107625,39.851357991)
baidu:(116.380001058,39.8748071618)---->origin:(116.36729401,39.8673599929)
baidu:(116.349061584,39.8487258545)---->origin:(116.3362959,39.8417470251)
baidu:(116.398884487,39.8674542366)---->origin:(116.386245824,39.8597306081)
baidu:(116.377791366,39.8404159622)---->origin:(116.365102846,39.8330221925)
baidu:(116.324457075,39.8865683503)---->origin:(116.311798505,39.8794245497)
baidu:(116.419179975,39.8117924925)---->origin:(116.406562695,39.8041261283)
baidu:(116.326225515,39.8537235301)---->origin:(116.313566038,39.8466101609)
baidu:(116.377528802,39.8581315477)---->origin:(116.364820193,39.8507361545)
baidu:(116.408177004,39.8657191902)---->origin:(116.395543252,39.8579652658)
baidu:(116.290080353,39.8737488248)---->origin:(116.277643631,39.8661712083)
baidu:(116.287219385,39.8751549947)---->origin:(116.274787216,39.8675741847)
baidu:(116.445944917,39.8642816915)---->origin:(116.433164208,39.8570615692)
baidu:(116.300413961,39.8765829506)---->origin:(116.287935466,39.8690754279)
baidu:(116.284680465,39.8961207498)---->origin:(116.27225704,39.8885457359)
baidu:(116.264919524,39.8617021583)---->origin:(116.252434384,39.8543353819)
baidu:(116.290884693,39.8301883019)---->origin:(116.278484029,39.8226267334)
baidu:(116.29521743,39.8724877908)---->origin:(116.282764945,39.8649342513)
baidu:(116.29687664,39.851036301)---->origin:(116.284433283,39.8435011879)
baidu:(116.421469474,39.855496386)---->origin:(116.408810589,39.8478458289)
baidu:(116.326225515,39.8537235301)---->origin:(116.313566038,39.8466101609)
baidu:(116.381430537,39.8569459816)---->origin:(116.368740837,39.849475383)
baidu:(116.427620084,39.8721933714)---->origin:(116.414922189,39.8646318819)
baidu:(116.385522034,39.8458806632)---->origin:(116.372861978,39.8383395203)
baidu:(116.290080353,39.8737488248)---->origin:(116.277643631,39.8661712083)
baidu:(116.427613042,39.8721774848)---->origin:(116.414915186,39.8646158783)
baidu:(116.290080353,39.8737488248)---->origin:(116.277643631,39.8661712083)
baidu:(116.298015341,39.8563306902)---->origin:(116.285561135,39.8488034794)
baidu:(116.290080353,39.8737488248)---->origin:(116.277643631,39.8661712083)
baidu:(116.290080353,39.8737488248)---->origin:(116.277643631,39.8661712083)
baidu:(116.290080353,39.8737488248)---->origin:(116.277643631,39.8661712083)
baidu:(116.290080353,39.8737488248)---->origin:(116.277643631,39.8661712083)
baidu:(116.293216506,39.8727282876)---->origin:(116.28077132,39.865162654)
baidu:(116.424233692,39.8523392912)---->origin:(116.4115664,39.8447289788)
baidu:(116.290080353,39.8737488248)---->origin:(116.277643631,39.8661712083)
baidu:(116.326225515,39.8537235301)---->origin:(116.313566038,39.8466101609)
baidu:(116.407952873,39.8657035439)---->origin:(116.395319314,39.8579493572)
baidu:(116.290080353,39.8737488248)---->origin:(116.277643631,39.8661712083)
baidu:(116.290080353,39.8737488248)---->origin:(116.277643631,39.8661712083)
baidu:(116.326225515,39.8537235301)---->origin:(116.313566038,39.8466101609)
baidu:(116.407952873,39.8657035439)---->origin:(116.395319314,39.8579493572)
baidu:(116.290080353,39.8737488248)---->origin:(116.277643631,39.8661712083)
baidu:(116.290080353,39.8737488248)---->origin:(116.277643631,39.8661712083)
-----bank had finished------
baidu:(116.432536524,39.8470888901)---->origin:(116.419834781,39.8396227344)
baidu:(116.31869779,39.8862580426)---->origin:(116.306085676,39.8790232095)
